r1,r2,r3
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
0.98,1.02,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
